ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.32.4.98","elite","AS60645","PL","AS Consulting Sp. z o. o.","36","Core Network Fiber","4153","socks4","1328","1","2023-02-06T05:08:55.361Z","99","924","931"
"103.214.112.138","elite","AS136052","ID","PT Cloud Hosting Indonesia","261","PT Denbe Anugerah Solusindo","32323","socks5","1496","1","2023-02-06T05:08:55.871Z","99","859","869"
"103.116.174.125","elite","AS137363","ID","HIGEN","167","N/A","5678","socks4","1238","1","2023-02-06T05:08:55.366Z","99","985","991"
"88.212.26.206","elite","AS42841","SK","Antik Network","45","ANTIK Telecom s.r.o.","5678","socks4","1277","3","2023-02-06T05:08:55.364Z","100","881","885"
"124.167.249.234","elite","AS4837","CN","CNC Group CHINA169 Shan1xi Province Network","260","N/A","7300","socks5","1307","1","2023-02-06T05:08:54.362Z","97","939","973"
"41.203.252.118","elite","AS36902","SC","Intelvision","176","Intelvision Ltd","3128","socks5","1320","1","2023-02-06T05:08:54.809Z","99","936","950"
"176.58.17.1","elite","AS203594","PL","FAST NET Michal Szipluk","34","E-CHO","4153","socks4","1241","1","2023-02-06T05:08:54.779Z","99","986","991"
"173.195.27.150","elite","AS11976","US","Fidelity Communication International Inc.","115","Fidelity Communication International Inc.","10091","socks4","1207","1","2023-02-06T05:08:54.779Z","100","949","949"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","1","APNIC and Cloudflare DNS Resolver project","80","socks4","1398","1","2023-02-06T05:08:54.804Z","100","948","948"
"186.211.110.178","elite","AS53062","BR","Ggnet Telecom Backbone","235","Ggnet Telecom Backbone","32346","socks4","1367","1","2023-02-06T05:08:54.809Z","95","916","966"
"186.224.225.30","elite","AS53171","BR","Path Telecom S.A.","218","Path Telecom S.A","42648","socks4","1134","1","2023-02-06T05:08:54.343Z","99","981","990"
"103.73.74.22","elite","AS135468","ID","PT. Wahana Internet Nusantara","163","N/A","2021","http","1326","767","2023-02-06T05:08:54.364Z","100","963","967"
